NOMREG;NOMDEP;FERME;ANNREOUV;NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE
ILE-DE-FRANCE;PARIS;NON;;Musée Cernuschi, Musée des Arts de l'Asie de la ville de Paris;7, Avenue Velasquez;75008;PARIS;www.cernuschi.paris.fr;11/11,01/12-01/04;9-12,14-17
ILE-DE-FRANCE;PARIS;NON;;Les Catacombes;1, avenue du Colonel Henri Rol-Tanguy (Place Denfert-Rochereau);75014;PARIS;www.catacombes-de-paris.fr;;13-18
ILE-DE-FRANCE;PARIS;NON;;Musée Zadkine;100 bis, rue d'Assas;75006;PARIS;www.zadkine.paris.fr;;13-18
ILE-DE-FRANCE;PARIS;OUI;;Musée Galliéra - Musée de la Mode de la ville de Paris;10, Avenue Pierre 1er de Serbie;75116;PARIS;www.galliera.paris.fr;;9-12,14-17
ILE-DE-FRANCE;PARIS;NON;;Etablissement Public du Musée d'Orsay;62, Rue de Lille;75007;PARIS;www.musee-orsay.fr;;
ILE-DE-FRANCE;PARIS;NON;;Musée National de la Légion d'Honneur et des Ordres de Chevalerie;2, Rue de la Légion d'Honneur;75007;PARIS;www.musee-legiondhonneur.fr;01/01,01/04,25/12;10-12:30,13:30-18
ILE-DE-FRANCE;PARIS;NON;;Musée de la Musique;221, Avenue Jean-Jaurès;75019;PARIS;www.cite-musique.fr;01/11-01/04;10-12:30,13:30-18
ILE-DE-FRANCE;PARIS;NON;;Petit Palais, Musée des Beaux-Arts de la ville de Paris;Avenue Winston-Churchill;75008;PARIS;www.petitpalais.paris.fr;01/11-01/04;10-12:30,13:30-18
ILE-DE-FRANCE;PARIS;NON;;Musée de la Vie Romantique;16, Rue Chaptal;75009;PARIS;http://www.paris.fr/portail/Culture/Portal.lut?page_id=5851;;13-18
ILE-DE-FRANCE;PARIS;NON;;Musée de la Publicité (Les Arts Décoratifs);107, Rue de Rivoli;75010;PARIS;www.museedelapub.org et www.lesartsdecoratifs.fr/;;sept-18
ILE-DE-FRANCE;PARIS;NON;;Etablissement public de la Porte Dorée - Aquarium Tropical;293, avenue Daumesnil;75012;PARIS;www.aquarium-portedoree.fr;01/11-01/04;9-12,14-17
ILE-DE-FRANCE;PARIS;NON;;Établissement Public de la Porte Dorée - Cité Nationale de l’Histoire de l’Immigration;Palais de la Porte Dorée 293, avenue Daumesnil;75012;PARIS;www.histoire-immigration.fr;;9-12,14-17
ILE-DE-FRANCE;PARIS;OUI;;Musée Lénine;4 rue Marie-Rose;75014;PARIS;;;
ILE-DE-FRANCE;PARIS;NON;;Musée Nissim de Camondo (Les Arts Décoratifs);63, Rue de Monceau;75008;PARIS;www.lesartsdecoratifs.fr/;24/12,25/12;
ILE-DE-FRANCE;PARIS;OUI;;Musée Hébert;Hôtel de Montmorency-Bours 85, Rue du Cherche Midi;75006;PARIS;;;10-12,14-18
ILE-DE-FRANCE;PARIS;NON;;Musée des Monuments Français;Palais de Chaillot 1, Place du Trocadéro et du 11 Novembre;75116;PARIS;www.citechaillot.fr;11/11,01/12-01/04;10-12:30,13:30-18
